talk_id,title,speaker,recorded_date,published_date,event,duration,views,likes
73594.0,Should we cry at work?,TED Business,2021-02-08,2021-03-05,TED Audio Collective,1446.0,1242315.0,37000.0
64911.0,Oberammergau,Far Flung,2020-07-01,2021-03-05,Far Flung,2850.0,1225606.0,36000.0
74006.0,Brené Brown on What Vulnerability Isn't,Taken for Granted,2021-02-23,2021-03-08,taken for granted,2437.0,42349.0,1200.0
73908.0,"Who were Las Mariposas, and why were they murdered?",Lisa Krause,2021-03-08,2021-03-08,TED-Ed,357.0,1255805.0,37000.0
73722.0,"The myth of bringing your full, authentic self to work",Jodi-Ann Burey,2020-11-21,2021-03-08,TEDxSeattle,922.0,1512129.0,45000.0
73953.0,How much electricity does it take to power the world?, TED-Ed,2021-03-09,2021-03-09,TED-Ed,281.0,421088.0,12000.0
74003.0,"Love, sorrow and the emotions that power climate action",Knut Ivar Bjørlykhaug,2020-11-11,2021-03-09,TEDxUSN,760.0,1364537.0,40000.0
70779.0,What is deep tech? A look at how it could shape the future,Antoine Gourévitch,2020-10-21,2021-03-10,TED@BCG,649.0,1412153.0,42000.0
73703.0,How does artificial intelligence learn?,Briana Brownell,2021-03-11,2021-03-11,TED-Ed,277.0,493879.0,14000.0
74002.0,"4 lessons the pandemic taught us about work, life and balance",Patty McCord,2021-03-11,2021-03-11,TED Salon DWEN,460.0,1868730.0,56000.0
73599.0,How to challenge conventional wisdom -- and change any industry,How to Be a Better Human,2021-01-18,2021-03-12,TED Audio Collective,1649.0,1302346.0,39000.0
73825.0,"The incredible, bendable, twistable, expandable elephant trunk",Chase LaDue and Bruce A. Schulte,2021-03-15,2021-03-15,TED-Ed,292.0,264412.0,7900.0
73954.0,What if mental health workers responded to emergency calls?,Leslie Herod,2020-12-05,2021-03-15,TEDxMileHigh,574.0,1371699.0,41000.0
72807.0,"How synthetic biology can improve our health, food and materials",Emily Leproust,2020-10-21,2021-03-16,TED@BCG,658.0,1290567.0,38000.0
73553.0,How much land does it take to power the world?, TED-Ed,2021-03-16,2021-03-16,TED-Ed,266.0,416624.0,12000.0
74155.0,How to have constructive conversations,Julia Dhar,2021-03-11,2021-03-17,TED Salon DWEN,630.0,2602090.0,78000.0
73325.0,How do antidepressants work?,Neil R. Jeyasingam,2021-03-18,2021-03-18,TED-Ed,278.0,3357511.0,100000.0
74191.0,Online learning could change academia -- for good,Tyler Dewitt,2020-05-27,2021-03-18,TEDxMIT,826.0,1690439.0,50000.0
68729.0,The world is running out of water — but new tech can help,Seth Darling,2020-10-17,2021-03-19,TEDxGateway,617.0,32121.0,963.0
73604.0,The Power of Spaces,TED Radio Hour,2020-07-24,2021-03-19,TED Audio Collective,710.0,1223920.0,36000.0
74405.0,The innovations we need to avoid a climate disaster,Bill Gates,2021-03-22,2021-03-22,Countdown,2891.0,1883867.0,56000.0
73555.0,What's the best fuel for your car?, TED-Ed,2021-03-22,2021-03-22,TED-Ed,260.0,499969.0,14000.0
74192.0,"Possible futures from the intersection of nature, tech and society",Natsai Audrey Chieza,2021-03-11,2021-03-23,TED Salon DWEN,512.0,1376843.0,41000.0
74360.0,Ugly History: The Spanish Inquisition,Kayla Wolf,2021-03-23,2021-03-23,TED-Ed,324.0,1042323.0,31000.0
74281.0,Why I photograph the quiet moments of grief and loss,Caroline Catlin,2020-11-21,2021-03-24,TEDxSeattle,799.0,1375051.0,41000.0
74131.0,Can you solve the fantasy election riddle?,Dennis E. Shasha,2021-03-25,2021-03-25,TED-Ed,327.0,1144238.0,34000.0
74282.0,An election system that puts voters (not politicians) first,Amber McReynolds,2020-08-29,2021-03-25,TEDxMileHigh,609.0,1314063.0,39000.0
74189.0,What science taught me about being a Muslim drag quee‪n‬,TEDx SHORTS,2020-06-29,2021-03-26,TED Audio Collective,282.0,1115071.0,33000.0
72306.0,Why every world map is wrong,Kayla Wolf,2021-03-29,2021-03-30,TED-Ed,279.0,678017.0,20000.0
74478.0,A brief history of the devil,Brian A. Pavlac,2021-03-30,2021-03-30,TED-Ed,286.0,1334756.0,40000.0
74773.0,The seeds of change helping African farmers grow out of poverty,Andrew Youn,2020-06-18,2021-03-30,TED2020 ,377.0,190538.0,5700.0
74838.0,Language around gender and identity evolves (and always has),Archie Crowley,2020-10-21,2021-03-31,TEDxUofSC,797.0,1453034.0,43000.0
68458.0,The electrical blueprints that orchestrate life,Michael Levin,2020-05-18,2021-03-31,TED2020 ,1166.0,647956.0,19000.0
74913.0,"An honest history of an ancient and ""nasty"" word",Kate Lister,2020-03-06,2021-04-01,TEDxUniversityofGlasgow,1142.0,1429750.0,42000.0
74051.0,How does ultrasound work?,Jacques S. Abramowicz,2021-04-01,2021-04-01,TED-Ed,295.0,297164.0,8900.0
74697.0,Step 1: The Puls‪e‬,ZigZag,2021-03-25,2021-04-02,TED Audio Collective,1249.0,1150278.0,34000.0
74634.0,Can you outsmart the apples and oranges fallacy?,Elizabeth Cox,2021-04-05,2021-04-05,TED-Ed,327.0,934497.0,28000.0
74667.0,The exploitation of US college athletes,Tim Nevius,2020-11-10,2021-04-05,TEDxDayton,602.0,1376975.0,41000.0
74616.0, US politics isn't broken. It's fixed,Katherine M. Gehl,2020-12-05,2021-04-06,TEDxMileHigh,1012.0,1294426.0,38000.0
75050.0,Why good ideas get trapped in the valley of death -- and how to rescue them, TED-Ed,2021-04-06,2021-04-06,TED-Ed,289.0,1898056.0,56000.0
74840.0,"The routines, rituals and boundaries we need in stressful times",Esther Perel,2021-03-11,2021-04-07,TED Salon DWEN,925.0,1548638.0,46000.0
